-1.0 	 0.5012 	 0.821 	 -4.267 	 -3.446
-1.0 	 0.5012 	 13.119 	 -0.724 	 12.396
-1.0 	 0.5012 	 0.555 	 -2.747 	 -2.192
-1.0 	 0.5012 	 0.655 	 -2.74 	 -2.085
-1.0 	 0.5012 	 0.586 	 -3.515 	 -2.93
-1.0 	 0.5012 	 0.849 	 -3.267 	 -2.418
-1.0 	 0.5012 	 0.619 	 -3.64 	 -3.021
-1.0 	 0.5012 	 0.672 	 -3.817 	 -3.145
-1.0 	 0.5012 	 0.619 	 -4.005 	 -3.387
-1.0 	 0.5012 	 0.659 	 -3.663 	 -3.004
-1.0 	 0.5012 	 0.561 	 -3.743 	 -3.182
-1.0 	 0.5012 	 0.512 	 -3.605 	 -3.093
-1.0 	 0.5012 	 0.581 	 -3.643 	 -3.062
-1.0 	 0.5012 	 0.823 	 -3.61 	 -2.786
-1.0 	 0.5012 	 0.725 	 -4.596 	 -3.871
-1.0 	 0.5012 	 0.805 	 -3.987 	 -3.182
-1.0 	 0.5012 	 1.097 	 -4.612 	 -3.515
-1.0 	 0.5012 	 0.973 	 -4.337 	 -3.364
